Match V2,Company  Segment,RootID
Alchemy,WaaS,id1741256239-BXd1o_zySuuItg65vFcmAg
#N/A,AA,id1753720991-ki_DbtMkQ2uP5vAqEKqzhQ
BitGo,WaaS,1203
Bitpowr,WaaS,1998
Blocto,AA,1630
Circle,WaaS,1194
Cobo,WaaS,1996
Coinbase Developer Platform,WaaS,id1738624713-zznMVGPsTKyfneJg6A6lew
Dfns,WaaS,id1741256286-SaKBfnheSBmh4QyAhnz-yA
Fireblocks,WaaS,1359
Fordefi,WaaS,1416
Gelato,AA,id1755264380-fiaEMUCuTv6JC45vcXDDjQ
#N/A,AA,id1755264481-Dnci6sp8S0C13d-uRU8RQQ
Liminal,WaaS,id1755264497-xmDptV80RdyciGUZc3y7lQ
Lit Protocol,AA,1980
Magic,WaaS,id1755264512-JFO56u_eTAuEeB9qXcWQqg
Openfort,WaaS,id1755264523-zWyxd4LURkiBN3zUL-WGMA
Para,WaaS,id1740082037-SKCW91Z7QnOQ0TlM2r9oUA
Particle Network,AA,id1755182722-vHTI3bAzTpa9XKosnUNCBw
Passkeys Wallet,WaaS,2020
Pimlico,AA,1054
Portal,WaaS/AA,id1755264746-qCly0I8iQDm2OjQulNICRQ
Privy,WaaS,1082
Reown,WaaS/AA,1660
Rhinestone,AA,id1755264756-PW8gbw_1QgS4DajPLaFHMw
#N/A,AA,id1755264767-x1e94CCuQSurvydjJKZCPQ
Safeheron,WaaS,id1755264827-_67h8dCuSPCwROik8MacYQ
Sequence,WaaS,id1755264839-swg_EkgpS1ybuq6VUljpXQ
Silence Laboratories,AA,id1755264876-DmAvcjDdS1-ecRyOLcnOlg
thirdweb,WaaS,1438
TipLink,WaaS,1295
#N/A,WaaS,id1754985220-ynNAzQcBSOmzXQFrUYjRgw
Turnkey,WaaS,id1745938837-O1Y8296gQiG90p33eKxxAA
Utila,WaaS,id1749659197-S137_83ETQaYPUmXVM0LLQ
Vaultody,WaaS,id1755264888-h6YUrFheRJqzA-52x-leQA
Venly,WaaS,id1755264897-RbPFRsabTD-pbmnXoB2zVg
ZeroDev,AA,id1755264905-3X_lQObGQ3iZbT8-rhnIcQ
,WaaS,1988
,WaaS,942
,WaaS,1075
,WaaS/AA,1350
,WaaS,id1744026630-lT_Pd8LtQQiclUF_IlOztw
,WaaS,id1751900622-5MtiyLKUSbyGvDuWmUNo5Q
,WaaS,id1752157437-kSgRW1NzQSOkNnQm5beSZw
,WaaS,id1752216288-87ILwFy6QKqpJND5IfPRug
,WaaS,id1754054575-e5jPNn3QTXa0sIsYRo-rCw
,WaaS,1514
,WaaS,id1755072525-yRHY-12sTMi1S4ux4xoepg
,WaaS,id1753906637-8dvoyq5BQdOcydqkaz6fAw
,WaaS,id1754904198-qcCcaZzjRmKl6OkSTcYgzw
,WaaS,id1755857054-i4wcEd5GRoWH8-prvg6FUQ
,AA,id1755857291-lNL6_VhOSAaiDU5IeaNKYg
,AA,id1755857349-A0ngGeYQS1ieYN2DC2oMZg
,AA,111
,AA,id1755866523-Tdm0UdluTnewfVzq2VnDtg
,AA,id1755866568-XyhTRhPBRbm-XUus8V6VvQ
