name,gridid,tagLine,descriptionShort,sector,status_name,product_type,has_main_product,logo_url,Twitter handle,Twitter URL
Ledger,946,The secure gateway to all your crypto needs,Ledger provides hardware wallets for securely storing and managing cryptocurrencies. Their devices offer offline storage and advanced security features to protect digital assets from online threats and hacking attempts.,Asset Management,Active,Hardware Wallet,Yes,https://img.thegrid.id/harvest/088d1bf639f9a9e3f2ca38cf1ea4c88002c79d6f3e4706868aa3d9f27208109f.svg,Ledger,https://twitter.com/Ledger
Keystone,1374,Secure Cold Wallet for Effortless Transactions,Keystone is a provider of air-gapped hardware wallets for secure cryptocurrency storage and management.,Asset Management,Active,Hardware Wallet,Yes,https://img.thegrid.id/upload/9b02c011237d02ca0aba4e617c0ccddfa4674358f5f8eed7755d58ecedb6a587.png,KeystoneWallet,https://twitter.com/KeystoneWallet
ELLIPAL,1991,Leader of Air-gapped Cold Wallet,ELLIPAL helps users secure digital assets through air-gapped hardware wallets that operate completely offline using QR codes.,Asset Management,Active,Hardware Wallet,Yes,https://img.thegrid.id/upload/af16c1005ab6e793915d5c56caaa777ed3a38b4963ac6df28f4f100ceab6e34f.png,,
Trezor,1995,,,Asset Management,Active,Hardware Wallet,Yes,https://img.thegrid.id/upload/6167a39e00512e6418e7fb28ce43803a83b63c307e73115d3530bab17ee61c24.svg,,
Crossmint,942,All the infra you need to build onchain,"Crossmint is a platform enabling users to create, sell, and store NFTs, offering tools for secure integration of digital assets into applications, tokenizing loyalty programs, physical objects, and contracts, and facilitating the creation, distribution, and sale of digital art.
",Developer Tooling,Active,Custody Technology Provider,Yes,https://img.thegrid.id/harvest/ab94d0d7383316272faaf7e6fc67b4f88f314aad8f54e859116c7fb6074fdb46.svg,crossmint,https://twitter.com/crossmint
Circle,1194,Money is now open,Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currencies and public blockchains.,Payments,Active,Custody Technology Provider,No,https://img.thegrid.id/upload/e10ca2aaa006d641a7ddb17486fef62a982dfdabf90df17959de560a0843ea08.svg,circle,https://x.com/circle
Dynamic,1075,Web3 Login for Everyone,Web3 login for everyone.,Developer Tooling,Active,Custody Technology Provider,Yes,https://img.thegrid.id/upload/373c1f95673e2add903505321fb189c50542cf9347d8e5fc3a8a04d9ec1c66f5.svg,dynamic_xyz,https://x.com/dynamic_xyz
Privy,1082,"All your users, onchain.","The easiest way to bring all your users onchain, regardless of whether they already have wallets.",Asset Management,Active,Custody Technology Provider,Yes,https://img.thegrid.id/upload/47521424286ef54131dcfa69114e65812a52a13278083e0bf57fe64d1d1732a0.svg,privy_io,https://x.com/privy_io
Paxos,1331,Blockchain infrastructure for enterprises,"Paxos is a regulated blockchain infrastructure platform offering settlement, liquidity, and tokenization services.",Payments,Active,Custody Technology Provider,No,https://img.thegrid.id/harvest/4a7fe14875bb2fcdf515a36ca880f24fd51a448020bcb08cf3a0efce72b5d90a.svg,Paxos,https://x.com/Paxos
MetaKeep,1350,Zero Friction Enterprise Web3 Infrastructure.,MetaKeep provides wallet infrastructure for companies to offer self-custodial blockchain services without users managing private keys.,Asset Management,Active,Custody Technology Provider,Yes,https://img.thegrid.id/harvest/ce656729bf782b2efe7f39beb892c9691f1a77b698ea589ac7eebe1aa84a43d5.png,metakeep,https://x.com/metakeep
Fireblocks,1359,The simplest and most secure way to work with digital assets.,"Institutional-grade platform for storing, transferring, and issuing digital assets, with support for Solana ecosystem.",Asset Management,Active,Custody Technology Provider,Yes,https://img.thegrid.id/upload/52971ff83aed014e645bf26d661c18c0c5b956eee5d00d8f35800d5f80beea2b.svg,FireblocksHQ,https://twitter.com/FireblocksHQ
TipLink,1295,Create a frictionless wallet with just a Google Account.,Link-based crypto wallet for sending and receiving digital assets on Solana.,Payments,Active,Custody Technology Provider,No,https://img.thegrid.id/upload/72ab22e7d568cb3b0b35a64a586ae73e572c58f69995edae4b1ea7d63ef15102.svg,TipLinkOfficial,https://x.com/TipLinkOfficial
Fordefi,1416,The most comprehensive wallet platform on the market for your digital assets.,"Fordefi is an asset management platform providing secure custody solutions for institutional clients in DeFi, focusing on security and operational efficiency.",Asset Management,Active,Custody Technology Provider,Yes,https://img.thegrid.id/upload/485ab7aaf309b2d01c9c4ecfb471a610ed14344f5f948e5317d676a95ab736e7.svg,FordefiHQ,https://twitter.com/FordefiHQ
BitGo,1203,How institutions and platforms securely access crypto,"BitGo provides regulated custody, financial services, and core infrastructure for investors and builders alike.",Asset Management,Active,Custodian,Yes,https://img.thegrid.id/upload/21712baf3af499e14f5e3114ba1b7953dce393bcd2dff65de2c3712b77f87c02.svg,BitGo,https://x.com/BitGo
Copper,1357,Building the institutional standard for digital assets.,"Copper provides custody, trading, and settlement services for digital assets.",Asset Management,Active,Custodian,Yes,https://img.thegrid.id/upload/a2615586056a64d32db35bdad41f81cdb8bf2336fc46f21dcdd9ee8f403a47bb.png,CopperHQ,https://twitter.com/CopperHQ
Anchorage Digital,1358,The trusted crypto platform for institutions,"Anchorage Digital offers institutions secure and regulated crypto custody, trading, staking, and financing services.",Asset Management,Active,Custodian,Yes,https://img.thegrid.id/upload/3eb2b2675d7796b28c2cf2aec730460bf238262e17fbdae4ac8dde042b8bff7c.svg,Anchorage,https://twitter.com/Anchorage
